"Freq [GHz]","re(Gamma(1:1)) []"
9,0.0428935637426681
9.04081632653061,0.0427724151871446
9.08163265306122,0.0426561431387019
9.12244897959184,0.0425445534493573
9.16326530612245,0.0424374623533125
9.20408163265306,0.0423346957696911
9.24489795918367,0.0422360886614793
9.28571428571428,0.0421414844453925
9.3265306122449,0.0420507344479716
9.36734693877551,0.0419636974036966
9.40816326530612,0.0418802389913344
9.44897959183674,0.0418002314051453
9.48979591836735,0.0417235529578872
9.53061224489796,0.041650087712881
9.57142857142857,0.0415797251426552
9.61224489795918,0.0415123598119379
9.65306122448979,0.0414478910829829
9.69387755102041,0.0413862228413745
9.73469387755102,0.0413272632406804
9.77551020408163,0.0412709244644296
9.81632653061225,0.0412171225040414
9.85714285714286,0.041165776951476
9.89795918367347,0.0411168108054576
9.93877551020408,0.0410701502902352
9.97959183673469,0.0410257246859438
10.0204081632653,0.040983466169689
10.0612244897959,0.0409433096665789
10.1020408163265,0.0409051927099622
10.1428571428571,0.0408690553102246
10.1836734693878,0.0408348398315171
10.2244897959184,0.0408024908758725
10.265306122449,0.0407719551741784
10.3061224489796,0.0407431814835472
10.3469387755102,0.0407161204906368
10.3877551020408,0.0406907247205217
10.4285714285714,0.0406669484507443
10.469387755102,0.0406447476302021
10.5102040816327,0.040624079802549
10.5510204081633,0.0406049040338294
10.5918367346939,0.0405871808440546
10.6326530612245,0.0405708721424901
10.6734693877551,0.0405559411664011
10.7142857142857,0.0405423524230557
10.7551020408163,0.0405300716347723
10.7959183673469,0.0405190656868305
10.8367346938776,0.0405093025780713
10.8775510204082,0.0405007513740201
10.9183673469388,0.0404933821623888
10.9591836734694,0.0404871660108084
11,0.0404820749266704
