"Freq [GHz]","im(Gamma(1:1)) []"
9,134.608202705975
9.04081632653061,135.852185207216
9.08163265306122,137.090436216392
9.12244897959184,138.323109713472
9.16326530612245,139.550353556949
9.20408163265306,140.772309809687
9.24489795918367,141.989115043042
9.28571428571428,143.200900620949
9.3265306122449,144.407792965609
9.36734693877551,145.609913806167
9.40816326530612,146.807380411706
9.44897959183674,148.000305809746
9.48979591836735,149.188798991307
9.53061224489796,150.372965103564
9.57142857142857,151.55290563096
9.61224489795918,152.728718565624
9.65306122448979,153.900498567857
9.69387755102041,155.068337117365
9.73469387755102,156.23232265589
9.77551020408163,157.392540721826
9.81632653061225,158.549074077359
9.85714285714286,159.702002828627
9.89795918367347,160.851404539361
9.93877551020408,161.997354338438
9.97959183673469,163.139925021732
10.0204081632653,164.279187148616
10.0612244897959,165.415209133482
10.1020408163265,166.548057332551
10.1428571428571,167.677796126292
10.1836734693878,168.804487997708
10.2244897959184,169.928193606716
10.265306122449,171.048971860916
10.3061224489796,172.166879982879
10.3469387755102,173.281973574219
10.3877551020408,174.394306676612
10.4285714285714,175.503931829942
10.469387755102,176.610900127726
10.5102040816327,177.715261269985
10.5510204081633,178.817063613685
10.5918367346939,179.916354220915
10.6326530612245,181.013178904879
10.6734693877551,182.107582273859
10.7142857142857,183.199607773228
10.7551020408163,184.289297725649
10.7959183673469,185.376693369516
10.8367346938776,186.461834895764
10.8775510204082,187.544761483101
10.9183673469388,188.625511331778
10.9591836734694,189.704121695934
11,190.780628914607
