"Freq [GHz]","Phi [deg]","Theta [deg]","dB(DirTotal) []"
9.7347,0,-90,-9.47446544341089
9.7347,0,-88,-9.5259702074881
9.7347,0,-86,-9.68185871323664
9.7347,0,-84,-9.94575110906357
9.7347,0,-82,-10.3215380596156
9.7347,0,-80,-10.8081863410964
9.7347,0,-78,-11.3872215379827
9.7347,0,-76,-11.9954277285799
9.7347,0,-74,-12.4785613567078
9.7347,0,-72,-12.564391545385
9.7347,0,-70,-11.9821416499459
9.7347,0,-68,-10.721801909601
9.7347,0,-66,-9.05157418602288
9.7347,0,-64,-7.26187752112534
9.7347,0,-62,-5.52693586937629
9.7347,0,-60,-3.92469608876996
9.7347,0,-58,-2.48429501846025
9.7347,0,-56,-1.21549211470402
9.7347,0,-54,-0.122799017581146
9.7347,0,-52,0.787987217091403
9.7347,0,-50,1.50639191832168
9.7347,0,-48,2.01493478244679
9.7347,0,-46,2.28694253031671
9.7347,0,-44,2.2842816508114
9.7347,0,-42,1.95623117942684
9.7347,0,-40,1.24679277506511
9.7347,0,-38,0.145298407331537
9.7347,0,-36,-1.08266331531984
9.7347,0,-34,-1.36409534168406
9.7347,0,-32,0.371123357502101
9.7347,0,-30,3.13926079281342
9.7347,0,-28,5.79281232027145
9.7347,0,-26,8.01557634298354
9.7347,0,-24,9.79629842470037
9.7347,0,-22,11.1766724853132
9.7347,0,-20,12.1945715848643
9.7347,0,-18,12.8750279892565
9.7347,0,-16,13.2302357741537
9.7347,0,-14,13.2601576578943
9.7347,0,-12,12.9517867796459
9.7347,0,-10,12.2760803052637
9.7347,0,-8,11.1808373708175
9.7347,0,-6,9.57528863031633
9.7347,0,-4,7.29510842905508
9.7347,0,-2,4.01576521919034
9.7347,0,0,-0.940839028124484
9.7347,0,2,-6.86900403589581
9.7347,0,4,-3.23013871766204
9.7347,0,6,0.905970919670818
9.7347,0,8,3.17881507383338
9.7347,0,10,4.32763974029193
9.7347,0,12,4.708785603939
9.7347,0,14,4.4848950789118
9.7347,0,16,3.72300252530529
9.7347,0,18,2.42668501120252
9.7347,0,20,0.539698525403244
9.7347,0,22,-2.05192510311574
9.7347,0,24,-5.34763312518785
9.7347,0,26,-7.79586864664075
9.7347,0,28,-6.11767972576001
9.7347,0,30,-2.95428795122007
9.7347,0,32,-0.362813200142934
9.7347,0,34,1.59313677807081
9.7347,0,36,3.06809880734249
9.7347,0,38,4.17447269807555
9.7347,0,40,4.98256621572087
9.7347,0,42,5.53685426927364
9.7347,0,44,5.86687984543301
9.7347,0,46,5.99351023577414
9.7347,0,48,5.93240895772051
9.7347,0,50,5.69593051598338
9.7347,0,52,5.29412583491992
9.7347,0,54,4.73524145434802
9.7347,0,56,4.02592896620894
9.7347,0,58,3.17129649497139
9.7347,0,60,2.17490206308062
9.7347,0,62,1.03880180517119
9.7347,0,64,-0.236160251253357
9.7347,0,66,-1.64944766345426
9.7347,0,68,-3.19852158304321
9.7347,0,70,-4.87346989488587
9.7347,0,72,-6.6454273153118
9.7347,0,74,-8.44454167210079
9.7347,0,76,-10.1295203706563
9.7347,0,78,-11.4825612363907
9.7347,0,80,-12.3045195713063
9.7347,0,82,-12.5827412479107
9.7347,0,84,-12.5064700523584
9.7347,0,86,-12.3044997664363
9.7347,0,88,-12.1327833677474
9.7347,0,90,-12.0682090471941
