"Freq [GHz]","ang_deg(S(1,1)) [deg]"
8,57.3793581639479
8.05714285714286,15.210434537136
8.11428571428571,-7.21949686534849
8.17142857142857,-19.3977474517278
8.22857142857143,-27.3562949309812
8.28571428571429,-33.3872004063419
8.34285714285714,-38.4838537417456
8.4,-43.1497902587441
8.45714285714286,-47.6691300490296
8.51428571428571,-52.2116091932688
8.57142857142857,-56.8810899745065
8.62857142857143,-61.742095502953
8.68571428571429,-66.8364102293913
8.74285714285714,-72.1945621142778
8.8,-77.844713933895
8.85714285714286,-83.8210351719368
8.91428571428571,-90.1744024344985
8.97142857142857,-96.9915161564649
9.02857142857143,-104.440502275091
9.08571428571429,-112.915401868562
9.14285714285714,-123.71680010721
9.2,-146.496509743149
9.25714285714286,73.9832400629701
9.31428571428571,47.107111112426
9.37142857142857,32.5580206287123
9.42857142857143,18.2196544626913
9.48571428571429,1.95844009713197
9.54285714285714,-17.5518489083435
9.6,-41.039274647095
9.65714285714286,-67.5352211014367
9.71428571428571,-94.243909204684
9.77142857142857,-119.202633413802
9.82857142857143,-143.132051638669
9.88571428571428,-168.524421096507
9.94285714285714,168.073369491425
10,148.457186631925
10.0571428571429,120.926379011995
10.1142857142857,108.161669793712
10.1714285714286,145.172888725508
10.2285714285714,-178.867630471751
10.2857142857143,-177.638499092304
10.3428571428571,176.754892316393
10.4,169.632686849397
10.4571428571429,162.154891157
10.5142857142857,154.638480906033
10.5714285714286,147.173301403996
10.6285714285714,139.777611395177
10.6857142857143,132.445604397067
10.7428571428571,125.163618011833
10.8,117.91589725321
10.8571428571429,110.686518454657
10.9142857142857,103.459799542719
10.9714285714286,96.2200757587123
11.0285714285714,88.9511839666878
11.0857142857143,81.6357831964119
11.1428571428571,74.2545432112697
11.2,66.7851821479518
11.2571428571429,59.2012985917571
11.3142857142857,51.4709095454665
11.3714285714286,43.5545675732664
11.4285714285714,35.4028871151017
11.4857142857143,26.9532696883212
11.5428571428571,18.125610686134
11.6,8.81688296033754
11.6571428571429,-1.10505527416687
11.7142857142857,-11.8067759803529
11.7714285714286,-23.488884013352
11.8285714285714,-36.3685864686173
11.8857142857143,-50.6246669662126
11.9428571428571,-66.2836698238828
12,-83.0675081865344
