"Freq [GHz]","ang_deg(S(2,1)) [deg]"
8,-6.81341775696163
8.05714285714286,-6.81825632109126
8.11428571428571,-6.82899030891045
8.17142857142857,-6.8458638521107
8.22857142857143,-6.86918090838631
8.28571428571429,-6.89931312355979
8.34285714285714,-6.93670974020295
8.4,-6.98191004857783
8.45714285714286,-7.03555903783834
8.51428571428571,-7.09842712719791
8.57142857142857,-7.17143516040509
8.62857142857143,-7.25568627128215
8.68571428571429,-7.35250682832581
8.74285714285714,-7.46349952659275
8.8,-7.59061294845063
8.85714285714286,-7.73623376979156
8.91428571428571,-7.90331058246914
8.97142857142857,-8.09552259464879
9.02857142857143,-8.31751319720796
9.08571428571429,-8.57521917348974
9.14285714285714,-8.87634407055902
9.2,-9.2310542361862
9.25714285714286,-9.65302825901594
9.31428571428571,-10.1610845862959
9.37142857142857,-10.7817875770927
9.42857142857143,-11.5537723535507
9.48571428571429,-12.5352132436945
9.54285714285714,-13.8172799300361
9.6,-15.5493641241642
9.65714285714286,-17.9871427948341
9.71428571428571,-21.5746216947919
9.77142857142857,-26.9464903868414
9.82857142857143,-32.8801129357886
9.88571428571428,-9.16139817426055
9.94285714285714,25.4873244529873
10,20.3129971602085
10.0571428571429,14.5216536207308
10.1142857142857,10.6353420208389
10.1714285714286,8.01523428046758
10.2285714285714,6.16715173379518
10.2857142857143,4.80610103903371
10.3428571428571,3.76701753979778
10.4,2.95011641808364
10.4571428571429,2.29226038922871
10.5142857142857,1.75181651346764
10.5714285714286,1.30032832328935
10.6285714285714,0.917734145833202
10.6857142857143,0.589507434502929
10.7428571428571,0.304882488955156
10.8,0.0557169680076968
10.8571428571429,-0.164258861882829
10.9142857142857,-0.359950626255876
10.9714285714286,-0.535252349385756
11.0285714285714,-0.693296019191019
11.0857142857143,-0.836631736775033
11.1428571428571,-0.967360182480446
11.2,-1.08723183988316
11.2571428571429,-1.19772283435595
11.3142857142857,-1.30009434710702
11.3714285714286,-1.39544078537914
11.4285714285714,-1.48473093625481
11.4857142857143,-1.56884614169873
11.5428571428571,-1.64862032234147
11.6,-1.72488917881726
11.6571428571429,-1.79856209049786
11.7142857142857,-1.87074555211289
11.7714285714286,-1.94298777832033
11.8285714285714,-2.01783603529381
11.8857142857143,-2.10032529545891
11.9428571428571,-2.20286777010582
12,-2.3662868245916
